ID_EMPRESA;EMPRESA;ID_OBRA;OBRA;RECEITA_RECEBIDA;RECEITA_BRUTA;SALDO_ABERTO;TITULOS
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;173;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MAMOEIRO 01 - ASSARÉ;165928.93;165928.93;0.00;1
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;11;IFCE MANUTENÇÃO PREDIAL - ARACATI;162630.73;162630.73;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;49;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS REITORIA;156462.29;156462.29;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;214;IFCE - CAMPUS ITAPIPOCA - SUBESTAÇÃO - GRUPO 02;151794.97;151794.97;0.00;7
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;224;IFCE - CAMPUS QUIXADA - SUBESTAÇÃO - GRUPO 03;150983.60;150983.60;0.00;10
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;222;IFCE - CAMPUS LIMOEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03;147999.06;147999.06;0.00;7
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;139;SUBESTAÇÃO DO HOSPITAL DR. JOÃO ELÍSIO DE HOLANDA - MARACANAÚ;145677.56;145677.56;0.00;19
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;244;EXPANSÃO IV DO IFCE - CAMPUS SALES - CIDADE CAMPOS SALES;144918.42;144918.42;0.00;1
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;225;IFCE - CAMPUS TABULEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03;142207.65;142207.65;0.00;13
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;169;REFORMA E ADEQUAÇÃO DO SHOWROOM DA  LOJA CLUB COSMÉTICOS;140001.50;140001.50;0.00;4
